shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10082,33.846717,-118.253215,80012,2.514
10082,33.846717,-118.253215,90001,2.514
10082,33.846722,-118.253107,90002,2.520
10082,33.846735,-118.252318,90003,2.565
10082,33.846738,-118.251376,90004,2.619
10082,33.846739,-118.249969,90005,2.700
10082,33.846735,-118.249382,90006,2.734
10082,33.846730,-118.248599,90007,2.779
10082,33.846731,-118.248522,90008,2.784
10082,33.846730,-118.248453,90009,2.788
10082,33.846731,-118.248261,90010,2.799
10082,33.846731,-118.248261,100001,2.799
10082,33.846731,-118.248014,100002,2.813
10082,33.846731,-118.247958,100003,2.816
10082,33.846724,-118.244113,100004,3.037
10082,33.846723,-118.243705,100005,3.061
10082,33.846723,-118.243470,100006,3.074
10082,33.846723,-118.243470,110001,3.074
10082,33.846727,-118.239145,110002,3.323
10082,33.846727,-118.238676,110003,3.350
10082,33.846727,-118.238422,110004,3.364
10082,33.846727,-118.238422,120001,3.364
10082,33.846728,-118.235584,120002,3.528
10082,33.846720,-118.235127,120003,3.554
10082,33.846720,-118.235127,130001,3.554
10082,33.846715,-118.234791,130002,3.573
10082,33.846711,-118.234552,130003,3.587
10082,33.846701,-118.234332,130004,3.600
10082,33.846670,-118.234053,130005,3.616
10082,33.846657,-118.233876,130006,3.626
10082,33.846629,-118.233610,130007,3.641
10082,33.846610,-118.233317,130008,3.658
10082,33.846598,-118.233123,130009,3.670
10082,33.846586,-118.232798,130010,3.688
10082,33.846585,-118.232726,130011,3.692
10082,33.846579,-118.232445,130012,3.709
10082,33.846582,-118.231328,130013,3.773
10082,33.846583,-118.230163,130014,3.840
10082,33.846582,-118.229443,130015,3.881
10082,33.846582,-118.229016,130016,3.906
10082,33.846586,-118.228687,130017,3.925
10082,33.846584,-118.227779,130018,3.977
10082,33.846583,-118.227308,130019,4.004
10082,33.846585,-118.226605,130020,4.044
10082,33.846584,-118.225751,130021,4.094
10082,33.846583,-118.225341,130022,4.117
10082,33.846590,-118.224293,130023,4.177
10082,33.846592,-118.223985,130024,4.195
